Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Electricity Usage (W),Welding Robot Speed (m/s),Heat Input (j/mm),Welding Cycle Time
32.00,108.36,11.84,5.54,0.77,0.00,0.01,186.54,2.47
21.00,99.66,13.38,4.40,0.64,0.00,0.01,152.42,2.48
21.00,99.99,14.72,4.60,0.61,0.00,0.01,168.18,2.48
26.00,103.62,11.39,3.85,0.73,0.00,0.01,198.74,2.49
21.00,108.85,12.51,4.44,0.64,0.00,0.01,181.6,2.49
21.00,105.99,10.84,4.10,0.68,0.00,0.00,0,2.50
21.00,102.50,12.78,4.85,0.68,0.00,0.00,0,2.50
49.00,95.42,11.43,4.36,0.75,0.00,0.00,0,2.50
21.00,104.66,13.48,4.49,0.62,0.00,0.01,201.59,2.50
21.00,106.42,11.46,4.67,0.68,0.00,0.00,0,2.52
21.00,95.99,10.79,3.64,0.69,0.00,0.01,207.11,2.52
21.00,105.56,11.59,4.06,0.65,0.00,0.00,0,2.52
21.00,99.49,13.53,3.88,0.61,0.00,0.01,192.34,2.52
21.00,97.33,13.67,4.19,0.68,0.00,0.01,190.03,2.52
21.00,104.74,12.92,4.95,0.68,0.00,0.00,0,2.53
21.00,106.49,10.95,4.13,0.67,0.00,0.00,0,2.53
21.00,102.42,11.41,4.31,0.66,0.00,0.00,0,2.53
21.00,104.25,11.85,4.91,0.68,0.00,0.00,0,2.55
21.00,105.85,13.34,4.50,0.62,0.00,0.01,188.29,2.56
21.00,106.85,11.36,4.43,0.67,0.00,0.00,0,2.56
21.00,99.71,11.23,4.01,0.70,0.00,0.00,0,2.56
21.00,104.42,11.99,3.93,0.67,0.00,0.00,0,2.58
21.00,100.00,11.15,4.17,0.70,0.00,0.00,0,2.58
21.00,104.85,11.79,4.16,0.66,0.00,0.00,0,2.58
21.00,94.28,11.29,3.83,0.65,0.00,0.00,0,2.58
21.00,105.57,11.74,4.26,0.65,0.00,0.00,0,2.58
21.00,100.99,11.18,4.17,0.69,0.00,0.00,0,2.58
21.00,99.85,11.06,3.65,0.69,0.00,0.00,0,2.58
21.00,100.87,13.09,5.01,0.71,0.00,0.00,0,2.58
21.00,106.56,11.04,4.04,0.67,0.00,0.00,0,2.58
21.00,107.28,12.03,4.66,0.69,0.00,0.00,0,2.58
21.00,111.74,10.49,3.61,0.74,0.00,0.00,0,2.59
21.00,102.28,11.27,3.70,0.66,0.00,0.00,0,2.59
21.00,100.42,11.69,4.07,0.67,0.00,0.00,0,2.59
21.00,100.42,11.00,3.71,0.68,0.00,0.00,0,2.59
21.00,103.49,11.88,3.51,0.65,0.00,0.00,0,2.59
21.00,105.71,12.53,4.48,0.63,0.00,0.01,176.55,2.59
21.00,95.37,10.73,3.60,0.70,0.00,0.01,170.47,2.59
21.00,99.99,11.14,3.89,0.67,0.00,0.00,0,2.61
21.00,103.75,12.12,4.02,0.70,0.00,0.00,0,2.61
21.00,99.56,11.06,4.13,0.69,0.00,0.00,0,2.61
21.00,102.42,11.34,4.01,0.72,0.00,0.00,0,2.61
21.00,112.56,10.80,3.89,0.74,0.00,0.00,0,2.63
21.00,105.99,11.59,4.24,0.65,0.00,0.00,0,2.63
21.00,106.33,11.45,4.56,0.64,0.00,0.00,0,2.63
26.00,106.56,12.67,4.08,0.72,0.00,0.01,158.83,2.63
26.00,99.75,11.37,4.30,0.80,0.00,0.00,0,2.63
21.00,104.24,12.27,4.36,0.77,0.00,0.01,222.78,2.64
21.00,99.57,12.24,4.19,0.73,0.00,0.00,0,2.64
21.00,101.42,11.14,4.27,0.71,0.00,0.00,0,2.64
21.00,100.62,11.15,4.15,0.71,0.00,0.00,0,2.64
21.00,99.28,11.23,3.70,0.70,0.00,0.00,0,2.64
21.00,105.66,11.62,4.21,0.71,0.00,0.00,0,2.64
21.00,100.37,11.13,4.33,0.73,0.00,0.00,0,2.64
21.00,106.66,11.08,4.15,0.70,0.00,0.00,0,2.66
21.00,103.33,11.90,3.37,0.68,0.00,0.00,0,2.66
21.00,92.24,10.90,3.30,0.68,0.00,0.01,167.58,2.66
21.00,89.99,10.08,3.73,0.71,0.00,0.00,226.67,2.66
21.00,106.12,11.75,3.98,0.69,0.00,0.00,0,2.66
21.00,106.57,11.26,4.61,0.69,0.00,0.00,0,2.66
21.00,93.99,10.60,3.45,0.70,0.00,0.01,160.12,2.66
21.00,109.56,10.31,3.83,0.77,0.00,0.00,0,2.67
21.00,102.12,12.40,4.24,0.79,0.00,0.01,225.08,2.67
21.00,103.37,12.44,4.18,0.72,0.00,0.00,0,2.67
21.00,106.56,11.50,3.86,0.72,0.00,0.00,0,2.67
21.00,101.42,11.23,4.41,0.69,0.00,0.00,0,2.67
21.00,101.85,11.70,4.10,0.68,0.00,0.00,0,2.69
21.00,106.14,12.48,4.98,0.70,0.00,0.00,0,2.69
26.00,106.13,12.46,4.06,0.75,0.00,0.01,155.54,2.69
21.00,88.44,10.26,3.54,0.73,0.00,0.01,170.06,2.69
21.00,109.42,10.43,3.75,0.78,0.00,0.00,0,2.70
21.00,106.56,12.20,4.66,0.79,0.00,0.01,191.58,2.70
21.00,102.74,12.50,4.43,0.74,0.00,0.00,0,2.70
21.00,99.49,11.25,3.96,0.70,0.00,0.00,0,2.70
21.00,106.00,11.57,3.92,0.66,0.00,0.00,0,2.70
21.00,94.10,10.75,3.36,0.73,0.00,0.01,192.29,2.70
26.00,108.55,12.83,4.87,0.74,0.00,0.01,184.36,2.70
21.00,101.56,11.18,3.73,0.69,0.00,0.00,0,2.72
21.00,107.28,11.27,4.79,0.76,0.00,0.00,0,2.72
26.00,105.42,11.44,3.68,0.76,0.00,0.01,177.75,2.72
26.00,107.49,12.39,4.33,0.75,0.00,0.01,179.02,2.72
21.00,103.56,11.79,4.07,0.73,0.00,0.00,0,2.72
26.00,108.22,12.34,4.39,0.74,0.00,0.01,176.8,2.72
21.00,91.74,11.09,3.42,0.74,0.00,0.01,169.5,2.72
21.00,100.42,11.46,5.09,0.68,0.00,0.00,0,2.73
21.00,100.14,12.86,4.43,0.71,0.00,0.00,0,2.73
21.00,113.12,10.63,4.01,0.76,0.00,0.00,0,2.74
21.00,108.70,11.83,4.07,0.74,0.00,0.00,0,2.74
21.00,101.71,11.06,3.54,0.78,0.00,0.00,0,2.75
21.00,109.99,10.35,3.84,0.80,0.00,0.00,0,2.75
21.00,103.12,11.20,3.88,0.79,0.00,0.01,205.3,2.75
21.00,104.16,12.34,4.43,0.72,0.00,0.00,0,2.75
21.00,100.12,13.05,4.51,0.74,0.00,0.00,0,2.75
21.00,102.99,11.53,4.42,0.72,0.00,0.00,0,2.75
21.00,105.85,13.14,5.04,0.71,0.00,0.00,0,2.75
26.00,103.88,12.40,5.13,0.80,0.00,0.00,0,2.75
21.00,88.61,10.39,3.93,0.69,0.00,0.01,156.72,2.75
21.00,104.99,11.94,3.81,0.70,0.00,0.00,0,2.77
21.00,106.75,12.20,5.34,0.68,0.00,0.00,0,2.77
21.00,107.14,12.42,5.04,0.75,0.00,0.00,0,2.77
21.00,104.00,11.57,3.63,0.73,0.00,0.00,0,2.77
21.00,107.56,11.03,4.49,0.74,0.00,0.00,0,2.77
26.00,111.99,11.68,4.08,0.76,0.00,0.01,153.82,2.77
26.00,111.99,12.20,4.21,0.77,0.00,0.01,160.74,2.77
26.00,107.86,12.72,3.69,0.74,0.00,0.01,161.47,2.77
21.00,88.99,10.76,4.02,0.72,0.00,0.01,191.54,2.77
21.00,105.37,11.29,3.58,0.76,0.00,0.00,0,2.78
21.00,103.25,12.81,4.28,0.80,0.00,0.01,195.94,2.78
21.00,97.24,13.09,4.94,0.76,0.00,0.00,0,2.78
21.00,95.12,11.16,4.12,0.70,0.00,0.00,0,2.78
21.00,100.14,11.57,3.81,0.71,0.00,0.00,0,2.78
21.00,94.80,11.99,3.86,0.78,0.00,0.01,202.96,2.78
21.00,113.13,10.61,3.79,0.77,0.00,0.00,0,2.78
21.00,101.62,11.20,4.61,0.71,0.00,0.00,0,2.78
21.00,105.99,11.70,4.00,0.78,0.00,0.00,0,2.78
21.00,104.85,11.41,3.61,0.78,0.00,0.00,0,2.80
21.00,96.49,12.26,4.43,0.75,0.00,0.00,0,2.80
