Length(mm),Welding Current (avg) (A),Welding Voltage (avg) (V),Welding Wire Speed (avg) (m/min),Welding Gas Usage (l),Welding Robot Speed (m/s),Welding Cycle Time
21.00,102.12,12.31,4.49,0.75,0.00,2.88
21.00,85.71,10.43,3.55,0.72,0.00,2.88
21.00,105.87,11.75,4.38,0.74,0.00,2.88
21.00,105.62,11.21,3.65,0.81,0.00,2.89
21.00,105.74,11.71,3.85,0.80,0.00,2.89
21.00,102.87,11.22,3.65,0.84,0.00,2.89
21.00,103.62,11.57,4.37,0.81,0.01,2.89
21.00,106.85,11.49,4.39,0.76,0.00,2.89
21.00,106.87,11.41,4.36,0.76,0.00,2.89
21.00,107.74,11.50,3.82,0.79,0.00,2.89
21.00,109.99,10.54,3.79,0.83,0.00,2.89
21.00,94.49,11.75,3.89,0.81,0.00,2.89
21.00,104.49,11.78,3.50,0.81,0.01,2.89
26.00,110.99,11.44,3.71,0.76,0.01,2.89
26.00,107.28,12.44,3.81,0.76,0.01,2.89
26.00,108.24,12.31,4.00,0.79,0.01,2.89
21.00,91.54,10.45,3.57,0.76,0.01,2.89
21.00,90.11,10.23,3.38,0.72,0.01,2.89
21.00,95.32,11.02,3.57,0.74,0.01,2.89
21.00,96.62,11.14,3.66,0.69,0.01,2.89
21.00,96.24,10.84,3.43,0.72,0.01,2.89
21.00,92.85,12.06,5.04,0.72,0.01,2.89
21.00,102.44,12.29,3.55,0.81,0.01,2.91
21.00,102.88,12.43,4.84,0.83,0.01,2.91
21.00,106.49,11.54,3.84,0.83,0.01,2.91
21.00,107.74,11.57,3.90,0.81,0.01,2.91
21.00,106.85,11.79,4.55,0.75,0.00,2.91
